source,pid,context,cond,tcr_present,pep_len,toGIG,toDRG,file,to_cognate,to_other,crossed,fpocket_pos,fpocket_dist,bpocket_pos,bpocket_dist,f_seated,b_seated,register,threading,occ_cognate,occ_crossed,class_300Kext,class_370K
grind,6AM5,withTCR,mhc,True,10,14.192,14.533,outputs/grind/pdb/6AM5_mhc_L10_w0_1782207733_0.pdb,14.192,14.533,False,2.0,4.59,8.0,8.44,True,False,off,reverse,False,False,neither,neither
grind,6AM5,withTCR,mhc,True,10,3.66,3.161,outputs/grind/pdb/6AM5_mhc_L10_w0_1782207733_1.pdb,3.66,3.161,False,9.0,5.21,3.0,4.92,True,True,DRG,forward,False,True,neither,neither
grind,6AM5,withTCR,mhc_tcr2,True,10,15.44,16.028,outputs/grind/pdb/6AM5_mhc_tcr2_L10_w1_1782209967_0.pdb,15.44,16.028,False,1.0,5.86,9.0,4.45,True,True,off,reverse,False,False,neither,neither
grind,6AM5,withTCR,mhc_tcr2,True,10,14.882,15.434,outputs/grind/pdb/6AM5_mhc_tcr2_L10_w1_1782209967_1.pdb,14.882,15.434,False,2.0,7.86,9.0,3.58,False,True,off,reverse,False,False,neither,neither
grind,6AM5,withTCR,tcr2,True,10,5.614,4.871,outputs/grind/pdb/6AM5_tcr2_L10_w1_1782204633_0.pdb,5.614,4.871,False,8.0,5.36,2.0,5.41,True,True,off,forward,False,False,neither,neither
grind,6AM5,withTCR,tcr2,True,10,4.443,3.429,outputs/grind/pdb/6AM5_tcr2_L10_w1_1782204633_1.pdb,4.443,3.429,False,9.0,8.08,2.0,4.79,False,True,off,forward,False,False,neither,neither
grind,6AM5,withTCR,tcr2,True,10,17.458,17.767,outputs/grind/pdb/6AM5_tcr2_L10_w1_1782220660_0.pdb,17.458,17.767,False,7.0,9.45,10.0,8.19,False,False,off,forward,False,False,neither,neither
grind,6AM5,withTCR,tcr2,True,10,14.168,14.854,outputs/grind/pdb/6AM5_tcr2_L10_w1_1782220660_1.pdb,14.168,14.854,False,2.0,4.97,10.0,5.74,True,True,off,reverse,False,False,neither,neither
grind,6AMU,withTCR,mhc,True,10,14.451,14.902,outputs/grind/pdb/6AMU_mhc_L10_w1_1782199525_0.pdb,14.902,14.451,False,2.0,4.23,7.0,8.83,True,False,off,reverse,False,False,neither,neither
grind,6AMU,withTCR,mhc,True,10,12.582,13.085,outputs/grind/pdb/6AMU_mhc_L10_w1_1782199525_1.pdb,13.085,12.582,False,2.0,6.03,9.0,7.83,True,False,off,reverse,False,False,neither,neither
