cond,pid,source,file,toGIG,toDRG,fpocket_pos,fpocket_dist,threading
mhc,6AM5,grind,outputs/grind/pdb/6AM5_mhc_L10_w0_1782207733_0.pdb,14.192,14.533,2.0,4.59,reverse
mhc,6AM5,grind,outputs/grind/pdb/6AM5_mhc_L10_w0_1782207733_1.pdb,3.66,3.161,9.0,5.21,forward
mhc_tcr2,6AM5,grind,outputs/grind/pdb/6AM5_mhc_tcr2_L10_w1_1782209967_0.pdb,15.44,16.028,1.0,5.86,reverse
mhc_tcr2,6AM5,grind,outputs/grind/pdb/6AM5_mhc_tcr2_L10_w1_1782209967_1.pdb,14.882,15.434,2.0,7.86,reverse
tcr2,6AM5,grind,outputs/grind/pdb/6AM5_tcr2_L10_w1_1782204633_0.pdb,5.614,4.871,8.0,5.36,forward
tcr2,6AM5,grind,outputs/grind/pdb/6AM5_tcr2_L10_w1_1782204633_1.pdb,4.443,3.429,9.0,8.08,forward
tcr2,6AM5,grind,outputs/grind/pdb/6AM5_tcr2_L10_w1_1782220660_0.pdb,17.458,17.767,7.0,9.45,forward
tcr2,6AM5,grind,outputs/grind/pdb/6AM5_tcr2_L10_w1_1782220660_1.pdb,14.168,14.854,2.0,4.97,reverse
mhc,6AMU,grind,outputs/grind/pdb/6AMU_mhc_L10_w1_1782199525_0.pdb,14.451,14.902,2.0,4.23,reverse
mhc,6AMU,grind,outputs/grind/pdb/6AMU_mhc_L10_w1_1782199525_1.pdb,12.582,13.085,2.0,6.03,reverse
mhc,6AMU,grind,outputs/grind/pdb/6AMU_mhc_L10_w1_1782215296_0.pdb,14.846,15.621,2.0,6.76,reverse
mhc,6AMU,grind,outputs/grind/pdb/6AMU_mhc_L10_w1_1782215296_1.pdb,13.761,14.21,2.0,6.17,reverse
mhc_tcr2,6AMU,grind,outputs/grind/pdb/6AMU_mhc_tcr2_L10_w0_1782202509_0.pdb,15.09,15.763,3.0,8.75,reverse
mhc_tcr2,6AMU,grind,outputs/grind/pdb/6AMU_mhc_tcr2_L10_w0_1782202509_1.pdb,13.908,14.194,2.0,6.52,reverse
mhc_tcr2,6AMU,grind,outputs/grind/pdb/6AMU_mhc_tcr2_L10_w0_1782218409_0.pdb,15.114,15.65,1.0,5.32,reverse
mhc_tcr2,6AMU,grind,outputs/grind/pdb/6AMU_mhc_tcr2_L10_w0_1782218409_1.pdb,3.864,3.007,9.0,5.02,forward
tcr2,6AMU,grind,outputs/grind/pdb/6AMU_tcr2_L10_w0_1782197483_0.pdb,5.384,5.313,10.0,10.0,forward
tcr2,6AMU,grind,outputs/grind/pdb/6AMU_tcr2_L10_w0_1782197483_1.pdb,15.301,15.887,3.0,6.65,reverse
tcr2,6AMU,grind,outputs/grind/pdb/6AMU_tcr2_L10_w0_1782213142_0.pdb,7.377,7.093,9.0,5.91,forward
tcr2,6AMU,grind,outputs/grind/pdb/6AMU_tcr2_L10_w0_1782213142_1.pdb,16.732,16.966,6.0,9.97,ambiguous
L1_nterm,6AM5,ladder,outputs/ladder/pdb/6AM5_L1_nterm_0.pdb,15.984,16.552,3.0,8.92,reverse
L1_nterm,6AM5,ladder,outputs/ladder/pdb/6AM5_L1_nterm_1.pdb,3.282,3.731,10.0,9.21,forward
L1_nterm,6AM5,ladder,outputs/ladder/pdb/6AM5_L1_nterm_2.pdb,3.334,3.739,10.0,6.18,forward
L2_nterm_t1,6AM5,ladder,outputs/ladder/pdb/6AM5_L2_nterm_t1_0.pdb,2.618,3.13,10.0,5.5,forward
L2_nterm_t1,6AM5,ladder,outputs/ladder/pdb/6AM5_L2_nterm_t1_1.pdb,3.726,3.145,9.0,6.64,forward
L2_nterm_t1,6AM5,ladder,outputs/ladder/pdb/6AM5_L2_nterm_t1_2.pdb,15.752,16.319,2.0,5.87,reverse
L3_nterm_t2,6AM5,ladder,outputs/ladder/pdb/6AM5_L3_nterm_t2_0.pdb,14.521,15.373,2.0,6.96,reverse
L3_nterm_t2,6AM5,ladder,outputs/ladder/pdb/6AM5_L3_nterm_t2_1.pdb,13.691,14.368,3.0,10.52,reverse
L3_nterm_t2,6AM5,ladder,outputs/ladder/pdb/6AM5_L3_nterm_t2_2.pdb,14.888,15.439,2.0,6.64,reverse
L4_expanded,6AM5,ladder,outputs/ladder/pdb/6AM5_L4_expanded_0.pdb,15.47,16.029,2.0,7.54,reverse
L4_expanded,6AM5,ladder,outputs/ladder/pdb/6AM5_L4_expanded_1.pdb,14.199,14.84,2.0,5.88,reverse
L4_expanded,6AM5,ladder,outputs/ladder/pdb/6AM5_L4_expanded_2.pdb,15.096,15.81,2.0,10.86,reverse
L5_max,6AM5,ladder,outputs/ladder/pdb/6AM5_L5_max_0.pdb,15.182,15.561,3.0,8.63,reverse
L5_max,6AM5,ladder,outputs/ladder/pdb/6AM5_L5_max_1.pdb,15.359,15.924,3.0,6.58,reverse
L5_max,6AM5,ladder,outputs/ladder/pdb/6AM5_L5_max_2.pdb,14.358,14.809,4.0,6.86,reverse
L1_nterm,6AMU,ladder,outputs/ladder/pdb/6AMU_L1_nterm_0.pdb,7.734,6.833,8.0,9.99,forward
L1_nterm,6AMU,ladder,outputs/ladder/pdb/6AMU_L1_nterm_1.pdb,11.804,12.286,1.0,6.21,reverse
L1_nterm,6AMU,ladder,outputs/ladder/pdb/6AMU_L1_nterm_2.pdb,13.406,13.985,5.0,7.22,ambiguous
L2_nterm_t1,6AMU,ladder,outputs/ladder/pdb/6AMU_L2_nterm_t1_0.pdb,6.225,5.662,8.0,7.98,forward
L2_nterm_t1,6AMU,ladder,outputs/ladder/pdb/6AMU_L2_nterm_t1_1.pdb,12.27,12.81,1.0,5.36,reverse
L2_nterm_t1,6AMU,ladder,outputs/ladder/pdb/6AMU_L2_nterm_t1_2.pdb,13.434,13.81,2.0,5.36,reverse
L3_nterm_t2,6AMU,ladder,outputs/ladder/pdb/6AMU_L3_nterm_t2_0.pdb,8.822,7.954,6.0,10.23,ambiguous
L3_nterm_t2,6AMU,ladder,outputs/ladder/pdb/6AMU_L3_nterm_t2_1.pdb,12.763,13.286,2.0,7.68,reverse
L3_nterm_t2,6AMU,ladder,outputs/ladder/pdb/6AMU_L3_nterm_t2_2.pdb,14.443,14.925,3.0,5.07,reverse
L4_expanded,6AMU,ladder,outputs/ladder/pdb/6AMU_L4_expanded_0.pdb,5.161,4.654,9.0,7.55,forward
L4_expanded,6AMU,ladder,outputs/ladder/pdb/6AMU_L4_expanded_1.pdb,14.569,14.895,4.0,7.67,reverse
L4_expanded,6AMU,ladder,outputs/ladder/pdb/6AMU_L4_expanded_2.pdb,5.054,4.163,9.0,6.36,forward
L5_max,6AMU,ladder,outputs/ladder/pdb/6AMU_L5_max_0.pdb,16.745,17.063,3.0,7.87,reverse
L5_max,6AMU,ladder,outputs/ladder/pdb/6AMU_L5_max_1.pdb,4.062,3.293,8.0,5.66,forward
L5_max,6AMU,ladder,outputs/ladder/pdb/6AMU_L5_max_2.pdb,13.502,14.102,1.0,5.64,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_0223714_0.pdb,5.046,5.706,10.0,9.51,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_0410900_0.pdb,3.591,3.098,9.0,9.08,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_0440841_0.pdb,3.873,3.231,9.0,6.48,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_0605714_0.pdb,15.17,15.821,2.0,7.01,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_0725193_0.pdb,15.608,16.356,2.0,4.96,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_0840924_0.pdb,13.035,13.816,2.0,10.58,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_0924030_0.pdb,3.131,3.644,10.0,7.71,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_1074802_0.pdb,3.785,3.405,9.0,7.99,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_1334564_0.pdb,3.678,3.909,9.0,6.48,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_1396342_0.pdb,6.271,5.371,7.0,8.39,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_1606116_0.pdb,4.867,4.096,8.0,8.51,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_1641945_0.pdb,4.642,4.826,10.0,9.95,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_1721760_0.pdb,5.25,4.393,8.0,4.9,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_1854117_0.pdb,4.643,4.991,10.0,9.11,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_2316061_0.pdb,5.894,5.189,6.0,10.15,ambiguous
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_2325033_0.pdb,14.925,15.181,4.0,8.48,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_2414158_0.pdb,5.691,4.921,8.0,7.37,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_2533145_0.pdb,13.558,14.279,2.0,8.64,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_2666267_0.pdb,3.217,3.347,10.0,6.71,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_3072981_0.pdb,19.356,20.102,1.0,13.95,reverse
